method,Gabor,Gabor,Gabor,Gabor,Gabor,Gabor,Gabor,Gabor,Gabor,Gabor,Gabor,Gabor,Gabor,Gabor,Gabor,Gabor,Green,Green,Green,Hue,Hue,Hue,Subjective,Subjective,Subjective
attr,mean0,var0,mean1,var1,mean2,var2,mean3,var3,mean4,var4,mean5,var5,mean6,var6,mean7,var7,avr,cover,filtered,avr,cover,filtered,File Name,Subjective Color Rating,Subjective Quality Rating
,,,,,,,,,,,,,,,,,,,,,,,,,
0,0.5331018632282343,0.01148663919487803,0.16297211822760327,0.0018090659796634997,0.35961335229216235,0.0030260299428972984,0.0005364097419801123,8.180084530058801e-05,0.5331018632282343,0.011496621721342533,0.1629721182276035,0.001848913772518924,0.3596133522921621,0.003083154809963793,0.0005364097419801138,8.593626229465953e-05,0.5947602140829404,0.5260654025607638,0.6992318329259334,0.2225735462390191,0.9359144673916538,0.23146338775077135,7-4-2014 plot 1.jpg,7.5,7.5
1,0.5379575360300062,0.013993900814152376,0.16445652362272464,0.001983038519988685,0.36288883282285267,0.004176134657600023,0.0005412955440648507,7.142554137792448e-05,0.537957536030006,0.014018859392446577,0.16445652362272395,0.002113637344612418,0.36288883282285345,0.004265917969867119,0.0005412955440648507,9.513989808752667e-05,0.5971655673345083,0.5200874108836484,0.7091085639926552,0.21764845557644935,0.916130788041731,0.22899359241439024,7-4-2014 plot 2.jpg,7.25,7.25
2,0.5361967140218855,0.011258489197308595,0.16391823082677082,0.0016871676405523387,0.36170103899055284,0.003168458172906879,0.000539523796216647,6.985355055893007e-05,0.5361967140218847,0.01127062300733086,0.1639182308267707,0.0017378341712851286,0.3617010389905538,0.0032370839191351534,0.0005395237962166476,7.564888457630954e-05,0.5957416165974478,0.5340228296601723,0.6954374347022633,0.21698826783354475,0.9119952166521991,0.22888759307379206,7-4-2014 plot 3.jpg,7.25,7.25
3,0.5382309034177772,0.014648696800504199,0.16454009350929247,0.0019799441422109947,0.3630732376608484,0.004603209607878657,0.0005415706076878749,6.211953298460631e-05,0.538230903417776,0.01467140937781134,0.16454009350929236,0.0020976975230713236,0.3630732376608469,0.004680423484965911,0.0005415706076878754,8.248944483418048e-05,0.5983180615915996,0.5277547326107574,0.7073165716705357,0.217743514082562,0.8974059305073302,0.23148462944311232,7-4-2014 plot 4.jpg,7.25,7.25
4,0.5437376747597013,0.012807460076627876,0.16622354324393357,0.0016979371625185653,0.36678792830286455,0.004018685778972837,0.0005471115483568429,4.925663848454813e-05,0.5437376747597016,0.012834778196834606,0.166223543243934,0.0018350300365449937,0.3667879283028646,0.0041177772788764,0.0005471115483568446,7.113709991662685e-05,0.6017073561798382,0.5594303460768711,0.696738649931075,0.22032649460070677,0.8696870529112012,0.2335443191844702,7-4-2014 plot 5.jpg,7.25,7.25
5,0.5379111497946181,0.012788760070433917,0.16444234310009,0.0016813364472379208,0.36285754216198834,0.004023022364454844,0.0005412488700044647,4.7110361711569166e-05,0.5379111497946172,0.012815957240883242,0.16444234310008968,0.0018155536437371041,0.36285754216198945,0.004120606833548473,0.0005412488700044641,6.763844590867929e-05,0.5950364761026254,0.5299824530205118,0.695842401793109,0.21135830001579498,0.8517564687218686,0.23050439603218906,7-4-2014 plot 6.jpg,7.25,7.25
6,0.5425363227339033,0.012013880895568178,0.16585628344259754,0.0017476672526461356,0.3659775349070069,0.0034640190077015946,0.0005459027419829873,6.652123144576852e-05,0.5425363227339031,0.012029719393154796,0.16585628344259715,0.0018237544437081903,0.36597753490700763,0.0035317767618351366,0.0005459027419829878,7.73946799388234e-05,0.6010246555731914,0.5491263307171104,0.6989362092291627,0.2176444911889027,0.8869235819749871,0.23222722519731023,7-4-2014 plot 7.jpg,7.25,7.25
7,0.5379923354273216,0.014446595961345165,0.16446716198639302,0.002020558851956767,0.3629123073758226,0.0043638365055072076,0.0005413305593912324,7.028302532178272e-05,0.5379923354273218,0.014473517012506777,0.16446716198639297,0.002150832824833105,0.3629123073758235,0.004465231370236263,0.0005413305593912329,9.036045269825826e-05,0.596653414999978,0.5369120782294882,0.7052404962561374,0.21425477819182762,0.8537279921794625,0.2308097925261214,7-4-2014 plot 8.jpg,7.25,7.25
8,0.54528346367004,0.014026564414616517,0.1666960992607618,0.0018159200892755082,0.3678306677309682,0.004619056972112655,0.0005486669288342835,5.078081251556512e-05,0.545283463670041,0.01404662690697607,0.16669609926076204,0.0019090747597187978,0.367830667730968,0.004702365840793883,0.0005486669288342835,6.328720780777806e-05,0.6055897533176967,0.5558968375249164,0.7025303985916309,0.21497991010090725,0.8603295848202803,0.2341510559048539,7-4-2014 plot 9.jpg,7.5,7.5
9,0.5323093200562803,0.014069557541809219,0.16272983350036951,0.002072118462087762,0.3590787281864114,0.004114769214851888,0.0005356122811049989,8.564107808698142e-05,0.5323093200562814,0.01408811831745434,0.16272983350036993,0.0021491527411881617,0.3590787281864114,0.004215216296927013,0.0005356122811049989,9.523381095727369e-05,0.5934375017729894,0.513281551408179,0.7079237434834388,0.2205682342030647,0.8946013274016203,0.23557824996641727,7-4-2014 plot 10.jpg,7.5,7.5
10,0.5345455083139031,0.014515561319626984,0.16341344832567434,0.0019718584540832267,0.3605871887849363,0.00465143861437281,0.0005378623448339556,6.682483390919576e-05,0.5345455083139022,0.014531708054684116,0.16341344832567456,0.0020459197779584787,0.3605871887849358,0.00472129895140446,0.0005378623448339585,7.697330104423043e-05,0.592445366763322,0.5154733540099344,0.7026520355578023,0.21235922954923026,0.8676430031105324,0.23044709112443998,7-4-2014 plot 11.jpg,7.25,7.25
11,0.5223003945253911,0.015818878643742512,0.15967005091946862,0.0022004952925266195,0.35232702928742315,0.004993176888588097,0.0005255412505349456,8.051909674169047e-05,0.5223003945253908,0.015834402769713093,0.1596700509194684,0.0022620405365301184,0.3523270292874234,0.00508288880317414,0.000525541250534947,8.731157615617136e-05,0.5784049929308949,0.46437719525623716,0.7085424139693705,0.21077094461445445,0.8705639623320152,0.22701698463490538,7-4-2014 plot 12.jpg,7.25,7.25
12,0.539719035469839,0.012192942833475759,0.16499502351321058,0.0015440985560059913,0.3640770836287744,0.0038511361605481817,0.0005430679735482105,3.583826521863011e-05,0.5397190354698399,0.012233741506935543,0.16499502351321052,0.0017604248631175165,0.3640770836287748,0.0039863686560883535,0.000543067973548211,7.156747607591423e-05,0.6021729146021199,0.5512302853933577,0.694109711877395,0.22192121055068464,0.8954937467849794,0.23538221133775142,7-17-2014 plot 1.jpg,7.0,7.25
13,0.5329926357690254,0.013149069303130492,0.16293872680351756,0.001741803496715014,0.35953967096504935,0.004016626787832872,0.0005362998367682705,4.869932332123474e-05,0.5329926357690242,0.013192555362685333,0.16293872680351731,0.0019751041173244363,0.3595396709650493,0.004156005054953964,0.0005362998367682715,8.866009920134941e-05,0.5883268027735392,0.4967192975581919,0.6981505214403395,0.2026847733221655,0.8748338487413194,0.21765643597592377,7-17-2014 plot 2.jpg,6.5,7.0
14,0.5168940625430272,0.013013862032429938,0.15801730603939668,0.0016305328795357683,0.3486800918034536,0.004363992980590949,0.0005201013724483138,4.0378734852791965e-05,0.5168940625430276,0.013036133839108933,0.15801730603939695,0.001737392498529648,0.3486800918034536,0.004471825778439576,0.0005201013724483145,5.48788541652127e-05,0.5701521203139502,0.434272043989519,0.6878235500802802,0.20830400284179665,0.8513746222350823,0.2213546414556353,7-17-2014 plot 3.jpg,7.0,7.25
15,0.5238307373509842,0.01290529337334131,0.16013788498478485,0.0017245226382555665,0.35335934928408647,0.0038810041604794127,0.0005270810890852134,4.9635726280952325e-05,0.5238307373509856,0.012943292285588845,0.1601378849847846,0.0019271221119552676,0.3533593492840865,0.004011433008423095,0.0005270810890852142,8.355863364182842e-05,0.5847437416334591,0.49237073105549123,0.6939758176888083,0.2196269571448611,0.8989473821694959,0.2300833364393619,7-17-2014 plot 4.jpg,7.0,7.25
16,0.5309451083852227,0.01037616376776824,0.16231278662606885,0.001413566777838842,0.35815847491756303,0.0030090417773447832,0.0005342396045473739,4.104397475468644e-05,0.5309451083852232,0.010405987456413551,0.16231278662606907,0.0015702334386711659,0.358158474917562,0.0031167848329892033,0.0005342396045473754,6.685438184964704e-05,0.5847550030704233,0.4945275577498071,0.6837125306773321,0.20446591772465328,0.8813563217351466,0.2140723091682195,7-17-2014 plot 5.jpg,6.75,7.0
17,0.5210850145756403,0.012270004786583452,0.15929850270603224,0.0015626913131422278,0.3515071731057334,0.0038939712737057824,0.0005243183291943492,3.8450608145550594e-05,0.5210850145756396,0.012305280335693863,0.15929850270603185,0.0017448824208472229,0.35150717310573276,0.004020447372520674,0.0005243183291943506,6.70670674054997e-05,0.5731140767114943,0.4570606372974537,0.6844775026657852,0.20102801225746322,0.8442157384299447,0.21798922027535136,7-17-2014 plot 6.jpg,6.5,7.5
18,0.5385829077037972,0.01411285083228039,0.1646477031202788,0.0016724336382235299,0.36331068841847625,0.004940389378922428,0.0005419247961484004,3.1841127436733165e-05,0.5385829077037972,0.014147848799317683,0.1646477031202787,0.0018548096000911716,0.3633106884184778,0.005063274610820965,0.0005419247961484012,6.098753901219874e-05,0.5920413401805384,0.5089232519330311,0.6943522455090315,0.20010764249501822,0.7863034220879951,0.2230260836737986,7-17-2014 plot 7.jpg,7.25,7.0
19,0.5360488339944526,0.013015399438263235,0.1638730231038632,0.001653567408807057,0.36160128388543944,0.004106754180796543,0.0005393749985987222,3.949804436743528e-05,0.5360488339944531,0.013060658114432593,0.16387302310386334,0.0018972060784078126,0.36160128388543966,0.004254571387987786,0.0005393749985987227,8.096600395083574e-05,0.5951833936287593,0.5216505890520512,0.6961975522151351,0.21403108503622797,0.8572608727977109,0.23087231691411264,7-17-2014 plot 8.jpg,6.75,7.25
20,0.5378409480635801,0.014037274020788585,0.16442088205183666,0.001700641517959244,0.36281018633456286,0.004740730700869189,0.0005411782326740966,3.3450653278375e-05,0.5378409480635793,0.014073738383619225,0.16442088205183697,0.0018937221469934032,0.36281018633456313,0.0048739912597867965,0.0005411782326740972,6.556315766032857e-05,0.5992119793971552,0.5324961344401041,0.6981274963031644,0.21510547782908537,0.8653305744438015,0.23318092046769778,7-17-2014 plot 9.jpg,6.75,7.25
