method,Gabor,Gabor,Gabor,Gabor,Gabor,Gabor,Gabor,Gabor,Gabor,Gabor,Gabor,Gabor,Gabor,Gabor,Gabor,Gabor,GLCM,GLCM,GLCM,GLCM,GLCM,GLCM,GLCM,GLCM,GLCM,GLCM,GLCM,GLCM,GLCM,GLCM,GLCM,GLCM,GLCM,GLCM,GLCM,GLCM,GLCM,GLCM,GLCM,GLCM,GLCM,GLCM,GLCM,GLCM,GLCM,GLCM,GLCM,GLCM,GLCM,GLCM,GLCM,GLCM,GLCM,GLCM,GLCM,GLCM,GLCM,GLCM,GLCM,GLCM,GLCM,GLCM,GLCM,GLCM,Green,Green,Green,Hue,Hue,Hue,Subjective,Subjective,Subjective
attr,mean0,var0,mean1,var1,mean2,var2,mean3,var3,mean4,var4,mean5,var5,mean6,var6,mean7,var7,diss0,corr0,eng0,diss1,corr1,eng1,diss2,corr2,eng2,diss3,corr3,eng3,diss4,corr4,eng4,diss5,corr5,eng5,diss6,corr6,eng6,diss7,corr7,eng7,diss8,corr8,eng8,diss9,corr9,eng9,diss10,corr10,eng10,diss11,corr11,eng11,diss12,corr12,eng12,diss13,corr13,eng13,diss14,corr14,eng14,diss15,corr15,eng15,avr,cover,filtered,avr,cover,filtered,File Name,Subjective Color Rating,Subjective Quality Rating
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0.5044947123155977,0.007992164665824222,0.1542267577209698,0.0014634457425848275,0.3403158893703027,0.0015485146056986145,0.0005076250846785805,7.929594581801311e-05,0.5044947123155981,0.008007073675323932,0.15422675772096966,0.0015425737402284968,0.3403158893703029,0.0016053809869294585,0.0005076250846785808,9.43910922413992e-05,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.5707952717875016,0.4362968562625156,0.683853536055339,0.23788404046157852,0.9989816849606674,0.2380435238756876,7-4-2014 plot 1.jpg,7.5,7.5
1,0.49109600612097926,0.008848192666970523,0.15013070088705918,0.0016057845069765773,0.3312775535786281,0.001639425386225157,0.0004941432399722038,8.506821996351881e-05,0.4910960061209787,0.00888342998523241,0.15013070088705915,0.0017992148567278403,0.33127755357862765,0.0017453023209776494,0.0004941432399722044,0.00012221381692814373,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.5560645413944474,0.39572095169726185,0.6876114275118961,0.23947748682950445,0.9988434234665391,0.23965828444329793,7-4-2014 plot 2.jpg,7.25,7.25
2,0.5115191101314843,0.008129569787314082,0.15637415406356764,0.0015332250330451571,0.3450543219676083,0.0015844466291772682,0.0005146930686416614,9.158287396540111e-05,0.5115191101314852,0.00813898223583458,0.15637415406356764,0.0015704445196663272,0.34505432196760827,0.0016393679510759498,0.0005146930686416614,9.65135195085465e-05,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.5767991083779681,0.4631210772287007,0.6862242181967135,0.2321001423288059,0.9988556553477934,0.23226840352183845,7-4-2014 plot 3.jpg,7.25,7.25
3,0.4938607060306486,0.00820056386242083,0.15097588457824737,0.0014451779179131818,0.33314253112077574,0.001610405857417054,0.0004969250947498595,7.297349502159984e-05,0.4938607060306491,0.008226454821139964,0.1509758845782476,0.001583109582904943,0.33314253112077563,0.0016973253328624305,0.0004969250947498601,9.806368410175503e-05,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.5600643233157333,0.3987222445020993,0.6822498891840919,0.23785574067809495,0.9991614218017236,0.23798590122729613,7-4-2014 plot 4.jpg,7.25,7.25
4,0.5052569985109855,0.007823219131414962,0.15445979272708568,0.0013442484153819167,0.3408301030938667,0.0016253586802758803,0.0005083921008336294,6.497131203357778e-05,0.5052569985109862,0.007851350792923307,0.15445979272708574,0.0014923781769299999,0.34083010309386674,0.0017225972263823959,0.0005083921008336302,9.17764686706053e-05,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.5721174549296403,0.44419485510858314,0.6801412494227458,0.24114749995428464,0.9990850827499134,0.24128884719817315,7-4-2014 plot 5.jpg,7.25,7.25
5,0.495583667731968,0.008118931025017486,0.1515026032739743,0.0013857686114303242,0.3343047856091218,0.0017177261424093197,0.0004986587473693616,6.698343233518766e-05,0.4955836677319691,0.008144808564137206,0.15150260327397413,0.00151596213024474,0.33430478560912164,0.0018181702149705613,0.0004986587473693609,8.891985085522012e-05,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.5612550704702084,0.4013483692091688,0.680681220323705,0.23671232062172098,0.9989921207060192,0.2368643738220937,7-4-2014 plot 6.jpg,7.25,7.25
6,0.5019478102363226,0.007979691691153422,0.153448156002596,0.0014899234328165794,0.3385978312319547,0.001543429201775412,0.0005050623791593775,8.629870350211115e-05,0.5019478102363235,0.007995490526546214,0.1534481560025961,0.001566156334169196,0.3385978312319546,0.0016175499193233562,0.000505062379159378,9.977006552589901e-05,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.5689067074334555,0.43232470914137194,0.6840746682435727,0.24068298001185562,0.9988650592669002,0.24086016204302269,7-4-2014 plot 7.jpg,7.25,7.25
7,0.49894789181357607,0.008022880138950328,0.1525310647418296,0.0015064592726567402,0.33657418285437474,0.0014409181061061102,0.0005020438463458518,8.390561368639106e-05,0.4989478918135771,0.008049383715623134,0.1525310647418294,0.0016415827880043392,0.3365741828543744,0.0015394434266042774,0.0005020438463458517,0.00010715656375099864,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.566938500115368,0.41991316145075425,0.6867952221748487,0.23702026193150408,0.9992501472382953,0.23713541767414673,7-4-2014 plot 8.jpg,7.25,7.25
8,0.5001044940438647,0.007233657745457642,0.15288464428903875,0.0013142982763171749,0.3373543894790212,0.001426875899491192,0.0005032076252532532,7.08892239659099e-05,0.5001044940438646,0.007248068067150607,0.15288464428903867,0.0013890006938134234,0.3373543894790208,0.0014932116450723332,0.000503207625253254,7.903929245627884e-05,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.5703732433881955,0.438206856177636,0.6771947497770028,0.24190874344061042,0.9989293516426119,0.2420843384576881,7-4-2014 plot 9.jpg,7.5,7.5
9,0.4954455405417192,0.008194049781559137,0.151460377046057,0.0015835690865010636,0.3342116094539539,0.001424617137243972,0.0004985197631046393,9.481590650419391e-05,0.4954455405417196,0.00821594932929798,0.15146037704605703,0.001682932557051163,0.33421160945395406,0.001524501550602034,0.0004985197631046396,0.00010955638576372202,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.5638863541517347,0.41468458406114306,0.6867955309765104,0.240001505077999,0.9991737421897612,0.24013059280392066,7-4-2014 plot 10.jpg,7.5,7.5
10,0.4955178516019489,0.007504451450407252,0.15148248292763405,0.0013766869506844997,0.33426038816693704,0.0014771125629010628,0.0004985925228525148,7.434927923078947e-05,0.4955178516019493,0.007524553975124521,0.151482482927634,0.0014749023402297042,0.334260388166937,0.0015471110717607654,0.000498592522852515,9.138459157088313e-05,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.5627615997374069,0.41497770976112847,0.677758652111039,0.23849892446959467,0.9988279070719686,0.2386890362997781,7-4-2014 plot 11.jpg,7.25,7.25
11,0.4879590294740969,0.008560699671146432,0.14917171018708866,0.0016091273341214951,0.3291614501360013,0.001647540050990236,0.0004909867984929677,9.431757432776911e-05,0.4879590294740969,0.008577343945691441,0.14917171018708872,0.0016826926709637008,0.32916145013600095,0.001729513988786976,0.0004909867984929685,0.00010625576802724631,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.5515634257104806,0.3697881797904264,0.6858831645141563,0.23171470546537606,0.9987269926344337,0.23189553695250575,7-4-2014 plot 12.jpg,7.25,7.25
12,0.49769031548075104,0.0077167487937087826,0.1521466168662351,0.0012495241710221159,0.3357258623512862,0.001519324201520634,0.0005007784667950708,5.023647889615986e-05,0.4976903154807508,0.007768355665054628,0.15214661686623507,0.0015397639459992,0.33572586235128643,0.0016651490156460742,0.0005007784667950706,0.00010257351253913087,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.5686300708044548,0.43699168508243375,0.6769298908932545,0.2440174013288208,0.9979217475635542,0.24436362544827683,7-17-2014 plot 1.jpg,7.0,7.25
13,0.48953348466971003,0.00867089648055209,0.14965302964211666,0.0014925202531534433,0.33022352691716167,0.0015106507855513576,0.0004925710231289947,6.763705499184489e-05,0.4895334846697102,0.008733611060837794,0.149653029642117,0.0018391116535898787,0.330223526917162,0.0016931147129404921,0.000492571023128995,0.00012966277990418608,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.5535688676526163,0.3941213069438933,0.6835551925988993,0.22801997399107263,0.9967783671182292,0.22845558483101305,7-17-2014 plot 2.jpg,6.5,7.0
14,0.4836679339085747,0.006750411365599387,0.1478598991016887,0.0011512769296436393,0.32626681523080964,0.0013208569287098217,0.0004866690768268405,5.479796572565041e-05,0.483667933908575,0.006779591727880691,0.14785989910168865,0.0013013138419699427,0.32626681523080947,0.0014284864930651884,0.0004866690768268407,7.77124963562748e-05,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.5460443162453918,0.35065496282745473,0.6655859587477286,0.22735345149276143,0.9977779058429058,0.2276655075279101,7-17-2014 plot 3.jpg,7.0,7.25
